About & Contact,关于 & 联系
About Us,关于我们
"By clicking Sign Up, you agree to our",点击注册，您同意
Corporate Member,企业会员
Corporate,企业会员
Connoisseur,行家会员
Connoisseur Member,行家会员
Professional Member,专业人士
Professional,专业人士
Home,主页
"Epicurissimo is a private network and online publication, a trusted place for professionals and connoisseurs of gastronomy and fine drinks to meet, connect, stay informed, showcase their work, find experts, share ideas, ask questions, find jobs and make business.",Epicurissimo是一个私人交友网络及电子出版商。我们为专业人士及美食鉴赏家们提供了一个可靠的平台，以便于大家交流心得、沟通近况、展示作品、寻找专家、分享创意、找寻答案、寻找工作以及促成商业往来。
Individual Member,个人会员
Send,发送
Sign Up,注册
Sign Up Now,现在注册
Sign Up as,注册为
Terms & Conditions,条款 & 条件
Terms &amp; Conditions,条款 &amp; 条件
Back,返回
Share Inspire Connect Inform Enjoy,分享 | 沟通 | 享受
You work in relevant domains.,你在相关领域工作
"Show Your Works, Get Connected",展示专业作品，结交行业朋友
Privacy Policy,隐私政策
Contact,联系方式
Contact Us,联系我们
your email address,你的邮箱地址
type your message here,输入你的留言
Name,姓名
Last Name,姓
First Name,名
Gender,性别
Male,男
Female,女
Other,其他
Birthday,生日
Country,国家
Contact Information,联系信息
Email,电子邮件
Phone,电话
Address,地址
Hobbies,兴趣爱好
"Few words about yourself",简单描述您自己
Education,教育信息
School,学校
Degree,学历
Industry,行业
"Food, Wine and Spirit Production",食品/酒类生产商
Hospitality,酒店业
Others,其他
"Restaurant, bar and club",餐厅/酒吧/俱乐部
"Distribution and Trade",分销或贸易
"Media and Press",媒体或出版
"Marketing and Communication",市场营销或传媒
Consultancy,咨询业
"Educational Institution",教育机构
"Research and Development",市场调研
"How we could help you?",我们如何能够帮助您？
"Looking for the opportunities of",寻找以下机会
"Looking for the opportunities of:",寻找以下机会：
"Jobs and Intern Opportunities",工作或实习机会
"Social Network Opportunities",增加社交人脉
"Your Expertise",您的专业领域
"Chef, Sommelier, Mixologist barman",厨师，调酒师，侍酒师
"Restaurant and bar management",餐馆/酒吧管理
"Distribution, Logistics, and trade",分销，物流或贸易
"Public Communication",大众传媒
"Marketing and Promotion",市场营销 和 促销
"Events Planning",活动策划
"Financial Service(seed funding, venture capital. Insurance)",金融服务(种子基金，风险投资，保险)
"Consulting Service",咨询服务
"Design",设计
"Photographing",摄像
"Creative Writing",创意写作
"Journalism",新闻
"Legal Issues",法律事务
"Academic and Research",学者及研究
"Central Interests",热衷于
"Gastronomy and Fine Dining",美食
"Wine(oenology)",酒类及(酒类研究)
"Fine Spirit: Rhum, Cognac, Armagnac, Whisky, Vodka, Gin",美酒：朗姆酒，白蘭地，威士忌，伏特加，杜松子酒等
"Cocktails",鸡尾酒
"Cigar",雪茄
"Cooking",烹饪
"Photographing food",美食摄影
"You might interested in",您或许对以下有兴趣
"Events(cocktail parties, wine tasting, tea party...)",活动（鸡尾酒会，美酒品鉴会，茶会）
"Exhibitions",展会
"Wine Trips",美酒之旅
"Buying and collection Advices",购买和收藏建议
"Photo sharing",分享照片
"Cooking classes",烹饪教室
"Insider opinions sharing(locating new spots for dining, drinking.)",室内想法分享（发掘新鲜的美食和美酒）
"If you have a blog or photo albums of relevant topics, sharing the link",如果您有博客或相关相册，请分享链接
"Account Profile",账户资料
"Profile",资料
"Company Name",公司名称
"email address",电子邮件
"phone no.",电话
"public relation manager",公关部经理名称
"Few words about your brand",简单描述您的企业或品牌
"How could we help you?",我们如何能够帮助您？
"Business network events",商业活动
"Exhibition",展会
"Branding",品牌建设
"Business partners, Merge and Acquisition",商业伙伴，兼并重组
"Talents search and recruiting",人才招聘
"Consulting Services",咨询服务
"Financial Services",金融服务
"What you are offering?",您可以提供什么？
"Jobs, internship Opportunities",工作，实习机会
"Exhibitions, Events",开办展会，组织活动
"Distribution and International Trade",分销和国际贸易
"By clicking Sign Up, you agree to our Terms & Conditions.",勾选此框，即代表您同意了我们的网站条款
"Select Gender",选择
Secret,保密
Your City,您的城市
Language,选择语言
Previous,上一页
Next,下一页
Title,头衔
"Thank You",感谢
"Once our website is completed, we will inform you by email",当我们的网站正式上线后，我们会通过电子邮件通知您
"Your Benefits",您将获得的权益
