"About &amp; Contact",聯系我們
"About Us",關於我們
"By clicking Sign Up, you agree to our",點擊註冊，您同意
"Corporate Member",企業會員
Corporate,企業會員
Connoisseur,行家會員
"Connoisseur Member",行家會員
"Professional Member",專業人士
Professional,專業人士
Home,主頁
"Epicurissimo is a private network and online publication, a trusted place for professionals and connoisseurs of gastronomy and fine drinks to meet, connect, stay informed, showcase their work, find experts, share ideas, ask questions, find jobs and make business.",Epicurissimo是一個私人交友網絡及電子出版商。我們為專業人士及美食鑑賞家們提供了一個可靠的平台，以便於大家交流心得、溝通近況、展示作品、尋找專家、分享創意、找尋答案、尋找工作以及促成商業往來。
"Individual Member",個人會員
Send,發送
"Sign Up",註冊
"Sign Up Now",現在註冊
"Sign Up as",註冊為
"Terms & Conditions",條款 & 條件
"Terms &amp; Conditions",條款 &amp; 條件
Back,返回
"Share Inspire Connect Inform Enjoy",分享 | 溝通 | 享受
"You work in relevant domains.",你在相關領域工作
"Show Your Works, Get Connected",展示專業作品，結交行業朋友
"Privacy Policy",隱私政策
Contact,聯系方式
"Contact Us",聯系我們
"your email address",你的郵箱地址
"type your message here",輸入你的留言
Name,姓名
Last Name,姓
First Name,名
Gender,性別
Male,男
Female,女
Other,其他
Birthday,生日
Country,國家
Contact Information,聯繫信息
Email,電子郵件
Phone,電話
Address,地址
Hobbies,興趣愛好
"Few words about yourself",簡單描述您自己
Education,教育信息
School,學校
Degree,學歷
Industry,行業
Others,其他
"Food, Wine and Spirit Production",食品/酒類生產商
Hospitality,酒店業
"Restaurant, bar and club",餐廳/酒吧/俱樂部
"Distribution and Trade",分銷或貿易
"Media and Press",媒體或出版
"Marketing and Communication",市場營銷或傳媒
Consultancy,諮詢業
"Educational Institution",教育機構
"Research and Development",市場調研
"How we could help you?",我們如何能夠幫助您？
"Looking for the opportunities of",尋找以下機會
"Looking for the opportunities of:",尋找以下機會：
"Jobs and Intern Opportunities",工作或實習機會
"Social Network Opportunities",增加社交人脈
"Your Expertise",您的專業領域
"Chef, Sommelier, Mixologist barman",廚師，調酒師，侍酒師
"Restaurant and bar management",餐館/酒吧管理
"Distribution,Logistics, and trade",分銷，物流或貿易
"Public Communication",大眾傳媒
"Marketing and Promotion",市場營銷 和 促銷
"Events Planning",活動策劃
"Financial Service(seed funding, venture capital. Insurance)",金融服務(種子基金，風險投資，保險)
"Consulting Service",諮詢服務
"Design",設計
"Photographing",攝像
"Creative Writing",創意寫作
"Journalism",新聞
"Legal Issues",法律事務
"Academic and Research",學者及研究
"Central Interests",熱衷於
"Gastronomy and Fine Dining",美食
"Wine(oenology)",酒類及(酒類研究)
"Fine Spirit: Rhum, Cognac, Armagnac, Whisky, Vodka, Gin",美酒：朗姆酒，白蘭地，威士忌，伏特加，杜松子酒等
"Cocktails",雞尾酒
"Cigar",雪茄
"Cooking",烹飪
"Photographing food",美食攝影
"You might interested in",您或許對以下有興趣
"Events(cocktail parties, wine tasting, tea party...)",活動（雞尾酒會，美酒品鑑會，茶會）
"Exhibitions",展會
"Wine Trips",美酒之旅
"Buying and collection Advices",購買和收藏建議
"Photo sharing",分享照片
"Cooking classes",烹飪教室
"Insider opinions sharing(locating new spots for dining, drinking.)",室內想法分享（發掘新鮮的美食和美酒）
"If you have a blog or photo albums of relevant topics, sharing the link",如果您有博客或相關相冊，請分享鏈接
"Account Profile",賬戶資料
"Profile",資料
"Company Name",公司名稱
"email address",電子郵件
"phone no.",電話
"public relation manager",公關部經理名稱
"Few words about your brand",簡單描述您的企業或品牌
"How could we help you?",我們如何能夠幫助您？
"Business network events",商業活動
"Branding",品牌建設
"Exhibition",展会
"Business partners, Merge and Acquisition",商業夥伴，兼併重組
"Talents search and recruiting",人才招聘
"Consulting Services",諮詢服務
"Financial Services",金融服務
"What you are offering?",您可以提供什麼？
"Jobs, internship Opportunities",工作，實習機會
"Exhibitions, Events",開辦展會，組織活動
"Distribution and International Trade",分銷和國際貿易
"By clicking Sign Up, you agree to our Terms & Conditions.",勾選此框，即代表您同意了我們的網站條款
"Select Gender",選擇
Secret,保密
Your City,您的城市
Language,選擇語言
Previous,上一頁
Next,下一頁
Title,頭銜
"Thank You",感謝
"Once our website is completed, we will inform you by email",當我們的網站正式上線後，我們會通過電子郵件通知您
"Your Benefits",您将获得的权益
