Home,Accueil 
Magazine,Mag
Events,Événements
Groups,Groupes
Members,Membres 
Share,À Partager
About,À Propos
My Epicurissimo,Mon Epicurissimo
My Blog,Mon Blog
My Album,Mes Albums
My Events,Mes événements
My Groups,Mes Groupes
City, Country
Ville, Pays
News,Nouveauté
Social Network,Réseaux Sociaux
Submit,Publier
Publish,Publier
Friends,Amis
Delete,Annuler
Comments,Commentaire
News,Nouveautés
Recent Activities,Activités Recentes
Profile,Votre Profil
Setting,Paramètre
Membership,adhésion
My Message,Mes Messages
My City,Ville Actuelle
Select Your City,Entrez Votre Ville
Go Back,revenir à la page Précédente
Calendar,Calendrier
Monday,Lundi
Tuesday,Mardi
Wednesday,Mercredi
Thursday,Jeudi
Friday,Vendredi
Saturday,Samedi
Sunday,Dimanche
Month,Mois
New Events,À Venir
Feature Events,événements passés
Events Categories,Catégorie
Fine Dining,Gastronomie
Wine,Vin
Bar & Nightlife,Bar & Nightlife
Cocktail,Cocktail
Tasting,Dégustation
Cooking,Classe Culinaire
Education,Formation
Organic & Biologic food,Aliments biologiques
Spirits,Spiritueux
Travel,Voyage
Exhibition,Expo
Other,Autre
More,En Savoir Plus
Upcoming Events,À Venir
Passed Events,événement Passé
Schedule an Events,Organiser Un Événement
Email members,Envoyez un Email 
Attending,Participe
Invite,Invitez des amis
All,Afficher tout
Gastronomy,Gastronomie
Wine,Vin
Spirit,Spiritueux
Cocktail,Cocktail
Hotel and Resorts,Hôtels
Art and Design,Art 
Culture,Culture
New Group,Nouveaux Groupes
Featured Group,à la Une
Create a discussion,Créer une discussion 
Author,Auteur
Edit,éditer 
Discussion,Discussion
Member Page
Connoisseur,Connaisseur
Professional,Professionnel 
Corporate,Entreprise
Featured Members,À La Une
New Members,Nouveaux
By Interests,par intérêt
By City,Par Ville
Find Friends,Retrouver des Amis 
Name,Nom
City,Ville actuelle
Interests,Loisirs
Member type,Type de Membre
Tags,Mot Clé
Search,Rechercher
Share,à Partager
More,Plus de Actualité
Reply,Répondre
DINING,Gastronomie
GASTRONOMY,Gastronomie
WINE,Vin
SPIRITS,Spiritueux
COCKTAIL,Cocktail
BAR & NIGHTLIFE,Bar & Apéro
COOKING,Classe Culinaire
EDUCATION,Formation
COFFEE&TEA,Coffee et Thé
BIOLOGIC&ORGANIC FOOD,Aliments biologiques
OPINION SHARING,Partager des Opinions
TRAVELING,Voyage
TASTING,Dégustation
EXHIBITION,Expo
OTHER,Autre
